comment,age_group,comment_length,word_count,processed_tokens,processed_text
my kids are driving me crazy,25-34,28,6,"['kid', 'driving', 'crazy']",kid driving crazy
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
EMPTY NEST SYNDROME IS REAL,35-49,27,5,"['empty', 'nest', 'syndrome', 'real']",empty nest syndrome real
reunion with old friends!!,35-49,26,4,"['reunion', 'old', 'friend']",reunion old friend
just meal prepped for the week,18-24,30,6,"['meal', 'prepped', 'week']",meal prepped week
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
SENIOR VERY DISCOUNT IS THE BEST PART,50+,37,7,"['senior', 'discount', 'best', 'part']",senior discount best part
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
proud of my children's accomplishments,35-49,38,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
coffee to function!,18-24,19,3,"['coffee', 'function']",coffee function
my daughter is graduating basically college,35-49,43,6,"['daughter', 'graduating', 'basically', 'college']",daughter graduating basically college
technology moves too fast,50+,25,4,"['technology', 'move', 'fast']",technology move fast
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
home renovation project,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
grandchildren visiting this weekend,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
apartment hunting is,18-24,20,3,"['apartment', 'hunting']",apartment hunting
this is fire,<18,12,3,['fire'],fire
technology moves too fast,50+,25,4,"['technology', 'move', 'fast']",technology move fast
adulting is hard,18-24,16,3,"['adulting', 'hard']",adulting hard
this is fire,<18,12,3,['fire'],fire
BRUH MOMENT FR!,<18,15,3,"['bruh', 'moment', 'fr']",bruh moment fr
back in my day,50+,14,4,"['back', 'day']",back day
apps are the worst!,18-24,19,4,"['apps', 'worst']",apps worst
working remote has pros and,18-24,27,5,"['working', 'remote', 'pro']",working remote pro
literally reunion with old friends,35-49,34,5,"['literally', 'reunion', 'old', 'friend']",literally reunion old friend
home renovation project,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
work-life balance is important,25-34,30,4,"['worklife', 'balance', 'important']",worklife balance important
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
BIG MOOD,<18,8,2,"['big', 'mood']",big mood
dating apps are the worst,18-24,25,5,"['dating', 'apps', 'worst']",dating apps worst
grandchildren visiting this weekend,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
technology too fast,50+,19,3,"['technology', 'fast']",technology fast
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
super my kids are driving me crazy,25-34,34,7,"['super', 'kid', 'driving', 'crazy']",super kid driving crazy
JUST MEAL PREPPED FOR THE WEEK!!!,18-24,33,6,"['meal', 'prepped', 'week']",meal prepped week
home renovation project,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
balance is important,25-34,20,3,"['balance', 'important']",balance important
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
grandchildren actually are such a blessing,50+,42,6,"['grandchild', 'actually', 'blessing']",grandchild actually blessing
technology moves too fast,50+,25,4,"['technology', 'move', 'fast']",technology move fast
arthritis up today,50+,18,3,"['arthritis', 'today']",arthritis today
that's sus,<18,10,2,"['thats', 'sus']",thats sus
need coffee to function!!,18-24,25,4,"['need', 'coffee', 'function']",need coffee function
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
technology moves too fast,50+,25,4,"['technology', 'move', 'fast']",technology move fast
my daughter is graduating college!,35-49,34,5,"['daughter', 'graduating', 'college']",daughter graduating college
work-life is important!!,25-34,24,3,"['worklife', 'important']",worklife important
daughter is graduating college,35-49,30,4,"['daughter', 'graduating', 'college']",daughter graduating college
this is fire,<18,12,3,['fire'],fire
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
senior discount is the best part,50+,32,6,"['senior', 'discount', 'best', 'part']",senior discount best part
back kinda in my day,50+,20,5,"['back', 'kinda', 'day']",back kinda day
thinking about changing careers,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
adulting is hard,18-24,16,3,"['adulting', 'hard']",adulting hard
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
looking forward to the weekend,25-34,30,5,"['looking', 'forward', 'weekend']",looking forward weekend
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
remember when phones had cords,50+,30,5,"['remember', 'phone', 'cord']",remember phone cord
remember when phones had cords,50+,30,5,"['remember', 'phone', 'cord']",remember phone cord
health insurance are rising!!!,35-49,30,4,"['health', 'insurance', 'rising']",health insurance rising
networking event tonight!!!,18-24,27,3,"['networking', 'event', 'tonight']",networking event tonight
BLOOD PRESSURE MEDICATION,35-49,25,3,"['blood', 'pressure', 'medication']",blood pressure medication
big mood,<18,8,2,"['big', 'mood']",big mood
home renovation project!!!,25-34,26,3,"['home', 'renovation', 'project']",home renovation project
omg this is so lit,<18,18,5,"['omg', 'lit']",omg lit
THIS IS FIRE,<18,12,3,['fire'],fire
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
my kids are driving me crazy!,25-34,29,6,"['kid', 'driving', 'crazy']",kid driving crazy
proud of my children's!,35-49,23,4,"['proud', 'childrens']",proud childrens
that's sus,<18,10,2,"['thats', 'sus']",thats sus
SENIOR DISCOUNT IS THE BEST PART,50+,32,6,"['senior', 'discount', 'best', 'part']",senior discount best part
investing for retirement!!,25-34,26,3,"['investing', 'retirement']",investing retirement
mortgage very rates are insane,25-34,30,5,"['mortgage', 'rate', 'insane']",mortgage rate insane
looking forward absolutely to the weekend,25-34,41,6,"['looking', 'forward', 'absolutely', 'weekend']",looking forward absolutely weekend
planning for retirement!!!,35-49,26,3,"['planning', 'retirement']",planning retirement
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
dating apps kinda are the worst,18-24,31,6,"['dating', 'apps', 'kinda', 'worst']",dating apps kinda worst
just meal prepped for the week!!!,18-24,33,6,"['meal', 'prepped', 'week']",meal prepped week
planning for retirement!!,35-49,25,3,"['planning', 'retirement']",planning retirement
home renovation project,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
big mood!!,<18,10,2,"['big', 'mood']",big mood
my kids are driving totally me crazy,25-34,36,7,"['kid', 'driving', 'totally', 'crazy']",kid driving totally crazy
health insurance costs are rising!!,35-49,35,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
just meal for the week,18-24,22,5,"['meal', 'week']",meal week
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
apartment hunting honestly is stressful,18-24,39,5,"['apartment', 'hunting', 'honestly', 'stressful']",apartment hunting honestly stressful
looking forward to the weekend,25-34,30,5,"['looking', 'forward', 'weekend']",looking forward weekend
senior discount is best part,50+,28,5,"['senior', 'discount', 'best', 'part']",senior discount best part
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
slay queen!!,<18,12,2,"['slay', 'queen']",slay queen
doctor appointments honestly every week!!,50+,41,5,"['doctor', 'appointment', 'honestly', 'every', 'week']",doctor appointment honestly every week
that's sus,<18,10,2,"['thats', 'sus']",thats sus
retirement is wonderful!,50+,24,3,"['retirement', 'wonderful']",retirement wonderful
health literally insurance costs are rising,35-49,43,6,"['health', 'literally', 'insurance', 'cost', 'rising']",health literally insurance cost rising
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
need coffee to function!!!,18-24,26,4,"['need', 'coffee', 'function']",need coffee function
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
apartment literally hunting is stressful,18-24,40,5,"['apartment', 'literally', 'hunting', 'stressful']",apartment literally hunting stressful
HOME RENOVATION PROJECT!,25-34,24,3,"['home', 'renovation', 'project']",home renovation project
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
no cap this slaps,<18,17,4,"['cap', 'slap']",cap slap
arthritis acting totally up today!!!,50+,36,5,"['arthritis', 'acting', 'totally', 'today']",arthritis acting totally today
adulting is hard,18-24,16,3,"['adulting', 'hard']",adulting hard
mortgage rates actually are insane,25-34,34,5,"['mortgage', 'rate', 'actually', 'insane']",mortgage rate actually insane
BRIDGE CLUB MEETING,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
back in my day,50+,14,4,"['back', 'day']",back day
big mood,<18,8,2,"['big', 'mood']",big mood
THINKING ABOUT CHANGING CAREERS,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
grandchildren are such a blessing,50+,33,5,"['grandchild', 'blessing']",grandchild blessing
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
mortgage rates are insane,25-34,25,4,"['mortgage', 'rate', 'insane']",mortgage rate insane
hunting is stressful!,18-24,21,3,"['hunting', 'stressful']",hunting stressful
doctor appointments every week,50+,30,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
parent-teacher conference today!!!,25-34,34,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
networking event tonight!!,18-24,26,3,"['networking', 'event', 'tonight']",networking event tonight
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
working remote has pros and cons!,18-24,33,6,"['working', 'remote', 'pro', 'con']",working remote pro con
adulting is hard!!!,18-24,19,3,"['adulting', 'hard']",adulting hard
LOWKEY OBSESSED WITH THIS!!,<18,27,4,"['lowkey', 'obsessed']",lowkey obsessed
need coffee to function!,18-24,24,4,"['need', 'coffee', 'function']",need coffee function
business next week,25-34,18,3,"['business', 'next', 'week']",business next week
remember when phones had cords!!!,50+,33,5,"['remember', 'phone', 'cord']",remember phone cord
yeet,<18,4,1,['yeet'],yeet
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
dating apps are very the worst,18-24,30,6,"['dating', 'apps', 'worst']",dating apps worst
omg this so lit,<18,15,4,"['omg', 'lit']",omg lit
reunion with old friends,35-49,24,4,"['reunion', 'old', 'friend']",reunion old friend
vibing with my besties!!,<18,24,4,"['vibing', 'besties']",vibing besties
back in my day!,50+,15,4,"['back', 'day']",back day
apartment hunting is stressful,18-24,30,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
lowkey obsessed with this!,<18,26,4,"['lowkey', 'obsessed']",lowkey obsessed
blood pressure medication!,35-49,26,3,"['blood', 'pressure', 'medication']",blood pressure medication
SLAY QUEEN,<18,10,2,"['slay', 'queen']",slay queen
my student loans are killing me!!!,18-24,34,6,"['student', 'loan', 'killing']",student loan killing
my daughter is graduating college,35-49,33,5,"['daughter', 'graduating', 'college']",daughter graduating college
that's sus,<18,10,2,"['thats', 'sus']",thats sus
BLOOD PRESSURE MEDICATION,35-49,25,3,"['blood', 'pressure', 'medication']",blood pressure medication
proud of my children's accomplishments,35-49,38,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
hunting is stressful,18-24,20,3,"['hunting', 'stressful']",hunting stressful
GRANDCHILDREN VISITING THIS WEEKEND!!,35-49,37,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
super dating apps are the worst!!,18-24,33,6,"['super', 'dating', 'apps', 'worst']",super dating apps worst
that's sus,<18,10,2,"['thats', 'sus']",thats sus
reunion with old friends!,35-49,25,4,"['reunion', 'old', 'friend']",reunion old friend
parent-teacher conference today,25-34,31,3,"['parentteacher', 'conference', 'today']",parentteacher conference today
need coffee to function,18-24,23,4,"['need', 'coffee', 'function']",need coffee function
empty nest syndrome is real!!,35-49,29,5,"['empty', 'nest', 'syndrome', 'real']",empty nest syndrome real
totally apartment hunting is stressful,18-24,38,5,"['totally', 'apartment', 'hunting', 'stressful']",totally apartment hunting stressful
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
dating apps are the worst!,18-24,26,5,"['dating', 'apps', 'worst']",dating apps worst
business next week!,25-34,19,3,"['business', 'next', 'week']",business next week
grandchildren visiting this weekend!,35-49,36,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
need to schedule a doctor appointment,25-34,37,6,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
proud my children's accomplishments!!,35-49,37,4,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
retirement is wonderful,50+,23,3,"['retirement', 'wonderful']",retirement wonderful
cap this slaps!,<18,15,3,"['cap', 'slap']",cap slap
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
considering downsizing our!,35-49,27,3,"['considering', 'downsizing']",considering downsizing
that's sus!!,<18,12,2,"['thats', 'sus']",thats sus
THAT'S SUS!!,<18,12,2,"['thats', 'sus']",thats sus
yeet,<18,4,1,['yeet'],yeet
back in my day,50+,14,4,"['back', 'day']",back day
omg this is so lit,<18,18,5,"['omg', 'lit']",omg lit
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
apartment hunting is stressful,18-24,30,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
this is fire,<18,12,3,['fire'],fire
managing aging parents and grown kids!!!,35-49,40,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
WORKING REMOTE HAS PROS AND CONS,18-24,32,6,"['working', 'remote', 'pro', 'con']",working remote pro con
reunion with old friends,35-49,24,4,"['reunion', 'old', 'friend']",reunion old friend
adulting is hard,18-24,16,3,"['adulting', 'hard']",adulting hard
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
need coffee function,18-24,20,3,"['need', 'coffee', 'function']",need coffee function
need coffee to function,18-24,23,4,"['need', 'coffee', 'function']",need coffee function
home renovation project,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
big mood!!,<18,10,2,"['big', 'mood']",big mood
YEET,<18,4,1,['yeet'],yeet
technology moves too fast!,50+,26,4,"['technology', 'move', 'fast']",technology move fast
bridge club meeting,50+,19,3,"['bridge', 'club', 'meeting']",bridge club meeting
working remote has pros and cons!!,18-24,34,6,"['working', 'remote', 'pro', 'con']",working remote pro con
that's sus,<18,10,2,"['thats', 'sus']",thats sus
retirement is wonderful!!!,50+,26,3,"['retirement', 'wonderful']",retirement wonderful
side hustle paying off,18-24,22,4,"['side', 'hustle', 'paying']",side hustle paying
home renovation project,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
that's sus,<18,10,2,"['thats', 'sus']",thats sus
remember when totally phones had cords,50+,38,6,"['remember', 'totally', 'phone', 'cord']",remember totally phone cord
MY DAUGHTER IS GRADUATING COLLEGE,35-49,33,5,"['daughter', 'graduating', 'college']",daughter graduating college
dating apps are the worst,18-24,25,5,"['dating', 'apps', 'worst']",dating apps worst
planning for retirement,35-49,23,3,"['planning', 'retirement']",planning retirement
health insurance costs are rising!!,35-49,35,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
that's sus,<18,10,2,"['thats', 'sus']",thats sus
golden years indeed,50+,19,3,"['golden', 'year', 'indeed']",golden year indeed
my daughter is graduating college!!!,35-49,36,5,"['daughter', 'graduating', 'college']",daughter graduating college
this is fire!,<18,13,3,['fire'],fire
apartment hunting is stressful,18-24,30,4,"['apartment', 'hunting', 'stressful']",apartment hunting stressful
looking literally forward to the weekend,25-34,40,6,"['looking', 'literally', 'forward', 'weekend']",looking literally forward weekend
reunion with old friends,35-49,24,4,"['reunion', 'old', 'friend']",reunion old friend
doctor appointments every week!!!,50+,33,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
managing aging parents and grown kids!!,35-49,39,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
planning for retirement,35-49,23,3,"['planning', 'retirement']",planning retirement
my daughter is graduating college,35-49,33,5,"['daughter', 'graduating', 'college']",daughter graduating college
lowkey obsessed with!,<18,21,3,"['lowkey', 'obsessed']",lowkey obsessed
blood pressure medication!!,35-49,27,3,"['blood', 'pressure', 'medication']",blood pressure medication
just meal for the week,18-24,22,5,"['meal', 'week']",meal week
remote has pros and cons,18-24,24,5,"['remote', 'pro', 'con']",remote pro con
home renovation project,25-34,23,3,"['home', 'renovation', 'project']",home renovation project
this is fire,<18,12,3,['fire'],fire
adulting is hard,18-24,16,3,"['adulting', 'hard']",adulting hard
proud of my children's accomplishments!!,35-49,40,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
need schedule a doctor appointment,25-34,34,5,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
back in my day!,50+,15,4,"['back', 'day']",back day
my kids are driving me crazy!!,25-34,30,6,"['kid', 'driving', 'crazy']",kid driving crazy
planning for retirement,35-49,23,3,"['planning', 'retirement']",planning retirement
proud of my children's accomplishments!,35-49,39,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
omg this is so lit,<18,18,5,"['omg', 'lit']",omg lit
grandchildren visiting this weekend,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
omg this honestly is so lit,<18,27,6,"['omg', 'honestly', 'lit']",omg honestly lit
SENIOR DISCOUNT IS THE SUPER BEST PART,50+,38,7,"['senior', 'discount', 'super', 'best', 'part']",senior discount super best part
senior discount is the best part,50+,32,6,"['senior', 'discount', 'best', 'part']",senior discount best part
WORK-LIFE IS IMPORTANT,25-34,22,3,"['worklife', 'important']",worklife important
totally my daughter is graduating college!!,35-49,43,6,"['totally', 'daughter', 'graduating', 'college']",totally daughter graduating college
MANAGING AGING PARENTS AND GROWN KIDS,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
remember when phones had honestly cords,50+,39,6,"['remember', 'phone', 'honestly', 'cord']",remember phone honestly cord
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
business trip next week!!!,25-34,26,4,"['business', 'trip', 'next', 'week']",business trip next week
yeet,<18,4,1,['yeet'],yeet
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
proud of my children's accomplishments,35-49,38,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
adulting is hard,18-24,16,3,"['adulting', 'hard']",adulting hard
proud of my children's accomplishments!!!,35-49,41,5,"['proud', 'childrens', 'accomplishment']",proud childrens accomplishment
golden years indeed!!,50+,21,3,"['golden', 'year', 'indeed']",golden year indeed
this is fire,<18,12,3,['fire'],fire
side hustle paying off!,18-24,23,4,"['side', 'hustle', 'paying']",side hustle paying
arthritis acting up today!,50+,26,4,"['arthritis', 'acting', 'today']",arthritis acting today
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
need to schedule doctor appointment,25-34,35,5,"['need', 'schedule', 'doctor', 'appointment']",need schedule doctor appointment
TECHNOLOGY MOVES TOO FAST,50+,25,4,"['technology', 'move', 'fast']",technology move fast
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
investing for retirement!!,25-34,26,3,"['investing', 'retirement']",investing retirement
super dating apps are the worst,18-24,31,6,"['super', 'dating', 'apps', 'worst']",super dating apps worst
remember when phones had cords,50+,30,5,"['remember', 'phone', 'cord']",remember phone cord
bruh moment fr,<18,14,3,"['bruh', 'moment', 'fr']",bruh moment fr
lowkey obsessed with this,<18,25,4,"['lowkey', 'obsessed']",lowkey obsessed
thinking about changing careers,25-34,31,4,"['thinking', 'changing', 'career']",thinking changing career
arthritis acting up today,50+,25,4,"['arthritis', 'acting', 'today']",arthritis acting today
technology moves too fast!!,50+,27,4,"['technology', 'move', 'fast']",technology move fast
dating apps are the worst,18-24,25,5,"['dating', 'apps', 'worst']",dating apps worst
remember phones had cords!,50+,26,4,"['remember', 'phone', 'cord']",remember phone cord
managing aging parents and grown kids!!,35-49,39,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
considering downsizing our absolutely home,35-49,42,5,"['considering', 'downsizing', 'absolutely', 'home']",considering downsizing absolutely home
technology moves too,50+,20,3,"['technology', 'move']",technology move
REMEMBER WHEN PHONES HAD CORDS!!!,50+,33,5,"['remember', 'phone', 'cord']",remember phone cord
GRANDCHILDREN VISITING THIS WEEKEND,35-49,35,4,"['grandchild', 'visiting', 'weekend']",grandchild visiting weekend
this is fire!,<18,13,3,['fire'],fire
work-life balance is important!!,25-34,32,4,"['worklife', 'balance', 'important']",worklife balance important
remember when phones had cords,50+,30,5,"['remember', 'phone', 'cord']",remember phone cord
grandchildren are such a blessing,50+,33,5,"['grandchild', 'blessing']",grandchild blessing
my honestly student loans are killing me!!,18-24,42,7,"['honestly', 'student', 'loan', 'killing']",honestly student loan killing
DATING APPS ARE THE WORST,18-24,25,5,"['dating', 'apps', 'worst']",dating apps worst
health insurance costs are rising,35-49,33,5,"['health', 'insurance', 'cost', 'rising']",health insurance cost rising
remember when phones had cords!,50+,31,5,"['remember', 'phone', 'cord']",remember phone cord
managing aging parents and grown kids,35-49,37,6,"['managing', 'aging', 'parent', 'grown', 'kid']",managing aging parent grown kid
investing for retirement,25-34,24,3,"['investing', 'retirement']",investing retirement
bruh moment fr!,<18,15,3,"['bruh', 'moment', 'fr']",bruh moment fr
reunion with old friends,35-49,24,4,"['reunion', 'old', 'friend']",reunion old friend
networking event tonight,18-24,24,3,"['networking', 'event', 'tonight']",networking event tonight
doctor appointments every week,50+,30,4,"['doctor', 'appointment', 'every', 'week']",doctor appointment every week
BACK IN MY DAY,50+,14,4,"['back', 'day']",back day
considering downsizing our home,35-49,31,4,"['considering', 'downsizing', 'home']",considering downsizing home
grandchildren are literally such a blessing!,50+,44,6,"['grandchild', 'literally', 'blessing']",grandchild literally blessing
planning for retirement,35-49,23,3,"['planning', 'retirement']",planning retirement
vibing with my besties,<18,22,4,"['vibing', 'besties']",vibing besties
